source_id,source_listing_id,attribute_key,attribute_label,attribute_namespace,value_type,value_text,value_number,value_boolean,source_path,raw_artifact_id,updated_at
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_amoblado,amoblado,cabaprop,boolean,,,0,adicionales.amoblado,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_cancha_paddle,"cancha paddle",cabaprop,boolean,,,0,adicionales.cancha_paddle,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_cancha_tenis,"cancha tenis",cabaprop,boolean,,,0,adicionales.cancha_tenis,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_centros_comerciales_cercanos,"centros comerciales cercanos",cabaprop,boolean,,,1,adicionales.centros_comerciales_cercanos,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_cocina_electrica,"cocina electrica",cabaprop,boolean,,,0,adicionales.cocina_electrica,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_cocina_gas,"cocina gas",cabaprop,boolean,,,1,adicionales.cocina_gas,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_escuelas_cercanas,"escuelas cercanas",cabaprop,boolean,,,1,adicionales.escuelas_cercanas,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_estacionamiento_visitas,"estacionamiento visitas",cabaprop,boolean,,,0,adicionales.estacionamiento_visitas,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_gimnasio,gimnasio,cabaprop,boolean,,,0,adicionales.gimnasio,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_hidromasaje,hidromasaje,cabaprop,boolean,,,0,adicionales.hidromasaje,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_laundry,laundry,cabaprop,boolean,,,0,adicionales.laundry,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_microcine,microcine,cabaprop,boolean,,,0,adicionales.microcine,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_parques_cercanos,"parques cercanos",cabaprop,boolean,,,0,adicionales.parques_cercanos,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_parrilla,parrilla,cabaprop,boolean,,,0,adicionales.parrilla,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_piscina,piscina,cabaprop,boolean,,,0,adicionales.piscina,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_placards,placards,cabaprop,boolean,,,1,adicionales.placards,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_sala_de_juegos,"sala de juegos",cabaprop,boolean,,,0,adicionales.sala_de_juegos,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_sauna,sauna,cabaprop,boolean,,,0,adicionales.sauna,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_solarium,solarium,cabaprop,boolean,,,0,adicionales.solarium,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_spa,spa,cabaprop,boolean,,,0,adicionales.spa,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_sum,sum,cabaprop,boolean,,,0,adicionales.sum,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_termotanque_electrico,"termotanque electrico",cabaprop,boolean,,,0,adicionales.termotanque_electrico,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.adicionales_termotanque_gas,"termotanque gas",cabaprop,boolean,,,0,adicionales.termotanque_gas,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
cabaprop,6a35727cef119099235da668,cabaprop.ambience,ambience,cabaprop,number,3,3.0,,ambience,cabaprop-6a35727cef119099235da668,2026-06-27T14:26:38.749137+00:00
